0.0021,0.9599,1.7135,O 
-0.0068,-2.4311,-0.5474,O 
0.0091,3.0945,2.6090,O 
4.6979,-2.8198,-0.2140,O 
-4.7134,-2.7945,-0.2137,O 
0.0007,0.3357,0.3902,C 
0.0043,1.5319,-0.5063,C 
1.2571,-0.5027,0.2617,C 
-1.2604,-0.4956,0.2611,C 
0.0074,2.6874,0.2541,C 
1.1756,-1.8169,-0.2123,C 
-1.1858,-1.8105,-0.2124,C 
0.0057,2.3307,1.6647,C 
0.0050,1.6085,-1.8903,C 
2.5258,0.0142,0.5789,C 
-2.5263,0.0284,0.5775,C 
0.0115,3.9515,-0.3060,C 
2.3287,-2.5918,-0.3762,C 
-2.3432,-2.5793,-0.3758,C 
0.0091,2.8732,-2.4859,C 
3.6759,-0.7614,0.4221,C 
-3.6806,-0.7411,0.4209,C 
0.0124,4.0369,-1.6985,C 
3.5773,-2.0638,-0.0574,C 
-3.5890,-2.0445,-0.0576,C 
0.0026,0.7137,-2.5035,H 
2.6334,1.0314,0.9469,H 
-2.6284,1.0464,0.9449,H 
0.0140,4.8472,0.3046,H 
2.2445,-3.6098,-0.7496,H 
-2.2716,-3.5985,-0.7481,H 
0.0097,2.9586,-3.5693,H 
4.6456,-0.3400,0.6727,H 
-4.6450,-0.3081,0.6729,H 
0.0156,5.0109,-2.1802,H 
4.4434,-3.6943,-0.5553,H 
-5.4846,-2.2660,0.0544,H 
